epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,epoch_time,best_val_acc,model_type,data_ratio,use_amp,use_strong_aug,seed
1,2.238575,0.174000,2.212576,0.191800,0.120471,0.0000600000,31.45,0.191800,cnn,0.1,True,False,42
2,2.088174,0.239800,1.998900,0.248400,0.217803,0.0001200000,28.53,0.248400,cnn,0.1,True,False,42
3,1.978757,0.288400,1.883831,0.318900,0.291064,0.0001800000,27.88,0.318900,cnn,0.1,True,False,42
4,1.924460,0.314200,1.874558,0.349900,0.339684,0.0002400000,25.13,0.349900,cnn,0.1,True,False,42
5,1.862763,0.351000,1.715090,0.416100,0.406810,0.0003000000,26.59,0.416100,cnn,0.1,True,False,42
6,1.819332,0.380400,1.686329,0.431500,0.425612,0.0002999183,29.37,0.431500,cnn,0.1,True,False,42
7,1.755772,0.410400,1.630324,0.458500,0.438887,0.0002996731,27.71,0.458500,cnn,0.1,True,False,42
8,1.691876,0.440600,1.648479,0.462600,0.438811,0.0002992649,29.65,0.462600,cnn,0.1,True,False,42
9,1.644518,0.471600,1.578827,0.494200,0.484954,0.0002986940,32.44,0.494200,cnn,0.1,True,False,42
10,1.598537,0.491600,1.655747,0.478100,0.473269,0.0002979610,36.87,0.494200,cnn,0.1,True,False,42
11,1.558656,0.513600,1.878146,0.423100,0.404953,0.0002970668,58.71,0.494200,cnn,0.1,True,False,42
12,1.527608,0.524800,1.576380,0.510800,0.496923,0.0002960123,28.55,0.510800,cnn,0.1,True,False,42
13,1.495366,0.541000,1.515113,0.542300,0.541237,0.0002947987,31.05,0.542300,cnn,0.1,True,False,42
14,1.472985,0.559000,1.617702,0.539400,0.526371,0.0002934273,27.72,0.542300,cnn,0.1,True,False,42
15,1.450074,0.570800,1.578644,0.534900,0.526785,0.0002918997,24.01,0.542300,cnn,0.1,True,False,42
16,1.407303,0.595200,1.393202,0.611400,0.609608,0.0002902174,21.91,0.611400,cnn,0.1,True,False,42
17,1.393114,0.592200,1.413843,0.593300,0.587728,0.0002883823,22.85,0.611400,cnn,0.1,True,False,42
18,1.373496,0.610800,1.360353,0.623700,0.626559,0.0002863965,25.49,0.623700,cnn,0.1,True,False,42
