epoch,train_loss,accuracy,macro_f1,lr
1,1.706811,0.381400,0.358678,0.00100000
2,1.369959,0.513600,0.495402,0.00100000
3,1.177536,0.554600,0.560081,0.00100000
4,1.061308,0.587800,0.593409,0.00100000
5,0.981336,0.618400,0.615925,0.00100000
6,0.913183,0.618100,0.609994,0.00100000
7,0.849659,0.605800,0.593787,0.00100000
8,0.779507,0.652000,0.650101,0.00100000
9,0.715648,0.701700,0.697360,0.00100000
10,0.669615,0.689400,0.679206,0.00100000
11,0.617612,0.676100,0.675266,0.00100000
12,0.572986,0.729100,0.728763,0.00100000
13,0.517710,0.733400,0.727793,0.00100000
14,0.496151,0.744100,0.743237,0.00100000
15,0.461768,0.686200,0.669411,0.00100000
16,0.426647,0.761300,0.759711,0.00100000
17,0.383728,0.735700,0.731838,0.00100000
18,0.353798,0.753100,0.752008,0.00100000
19,0.331282,0.696800,0.692178,0.00100000
20,0.313935,0.766400,0.768952,0.00100000
