epoch,train_loss,train_acc,val_loss,val_acc,val_f1,lr,epoch_time,best_val_acc,model_type,data_ratio,use_amp,use_strong_aug,seed
1,2.183103,0.186400,2.078051,0.257800,0.220272,0.0000600000,31.22,0.257800,vit,0.1,True,False,42
2,2.116185,0.224000,2.058681,0.255500,0.211998,0.0001200000,21.90,0.257800,vit,0.1,True,False,42
3,2.079477,0.237800,2.027918,0.269200,0.225979,0.0001800000,22.14,0.269200,vit,0.1,True,False,42
4,2.056370,0.250000,1.971969,0.298500,0.268731,0.0002400000,29.90,0.298500,vit,0.1,True,False,42
5,2.025655,0.255800,1.943262,0.295400,0.273082,0.0003000000,31.16,0.298500,vit,0.1,True,False,42
6,1.990027,0.287200,1.936888,0.305000,0.280851,0.0002999183,20.23,0.305000,vit,0.1,True,False,42
7,1.967150,0.287000,1.888046,0.337500,0.321369,0.0002996731,24.72,0.337500,vit,0.1,True,False,42
8,1.955691,0.300400,1.893283,0.327200,0.285319,0.0002992649,36.70,0.337500,vit,0.1,True,False,42
9,1.929206,0.311600,1.821251,0.383800,0.373833,0.0002986940,34.61,0.383800,vit,0.1,True,False,42
10,1.907113,0.330200,1.808187,0.376400,0.362014,0.0002979610,40.73,0.383800,vit,0.1,True,False,42
11,1.884780,0.344000,1.784806,0.387200,0.361271,0.0002970668,39.96,0.387200,vit,0.1,True,False,42
12,1.868409,0.357400,1.754168,0.418100,0.415463,0.0002960123,39.70,0.418100,vit,0.1,True,False,42
13,1.845437,0.365200,1.736416,0.414600,0.397872,0.0002947987,37.14,0.418100,vit,0.1,True,False,42
14,1.798214,0.385600,1.683564,0.450700,0.442989,0.0002934273,40.84,0.450700,vit,0.1,True,False,42
15,1.776397,0.398200,1.740700,0.426400,0.406153,0.0002918997,35.64,0.450700,vit,0.1,True,False,42
16,1.771526,0.408800,1.701914,0.442100,0.423774,0.0002902174,33.93,0.450700,vit,0.1,True,False,42
17,1.774410,0.396000,1.678736,0.447800,0.437974,0.0002883823,33.97,0.450700,vit,0.1,True,False,42
18,1.743199,0.429400,1.661662,0.465500,0.457703,0.0002863965,34.15,0.465500,vit,0.1,True,False,42
19,1.737802,0.440600,1.669250,0.456700,0.440820,0.0002842620,34.16,0.465500,vit,0.1,True,False,42
20,1.738247,0.424200,1.646648,0.470500,0.459894,0.0002819813,34.72,0.470500,vit,0.1,True,False,42
21,1.715951,0.433200,1.642846,0.467800,0.453320,0.0002795568,32.96,0.470500,vit,0.1,True,False,42
22,1.723326,0.432400,1.632881,0.474300,0.461530,0.0002769912,44.93,0.474300,vit,0.1,True,False,42
23,1.705669,0.436400,1.646282,0.462500,0.463775,0.0002742873,37.27,0.474300,vit,0.1,True,False,42
24,1.689341,0.447000,1.627092,0.478500,0.473782,0.0002714480,33.23,0.478500,vit,0.1,True,False,42
25,1.663191,0.465600,1.589579,0.495600,0.488982,0.0002684765,18.50,0.495600,vit,0.1,True,False,42
26,1.667618,0.461600,1.614134,0.482300,0.462318,0.0002653760,17.92,0.495600,vit,0.1,True,False,42
27,1.658775,0.467200,1.597114,0.501400,0.489157,0.0002621498,18.03,0.501400,vit,0.1,True,False,42
28,1.638441,0.475800,1.589612,0.496000,0.490555,0.0002588016,18.45,0.501400,vit,0.1,True,False,42
29,1.648793,0.473200,1.585555,0.501700,0.491923,0.0002553349,18.67,0.501700,vit,0.1,True,False,42
30,1.616567,0.489000,1.551894,0.515200,0.500159,0.0002517536,18.82,0.515200,vit,0.1,True,False,42
31,1.624685,0.480000,1.567004,0.506500,0.500385,0.0002480616,25.84,0.515200,vit,0.1,True,False,42
32,1.624304,0.481200,1.575706,0.510000,0.485039,0.0002442629,39.34,0.515200,vit,0.1,True,False,42
33,1.593870,0.490400,1.534761,0.525000,0.513253,0.0002403616,36.85,0.525000,vit,0.1,True,False,42
34,1.591855,0.492400,1.551451,0.514000,0.504261,0.0002363621,31.37,0.525000,vit,0.1,True,False,42
35,1.589846,0.497200,1.581089,0.504700,0.483388,0.0002322687,53.40,0.525000,vit,0.1,True,False,42
36,1.589210,0.493800,1.549696,0.519000,0.503119,0.0002280860,38.54,0.525000,vit,0.1,True,False,42
37,1.575523,0.501400,1.526188,0.532000,0.528575,0.0002238183,35.33,0.532000,vit,0.1,True,False,42
38,1.573999,0.512400,1.545896,0.513900,0.498638,0.0002194705,35.01,0.532000,vit,0.1,True,False,42
39,1.561281,0.511600,1.516713,0.532900,0.528866,0.0002150473,34.97,0.532900,vit,0.1,True,False,42
40,1.550469,0.509800,1.497556,0.544500,0.535547,0.0002105535,34.44,0.544500,vit,0.1,True,False,42
41,1.555728,0.514800,1.575595,0.506500,0.491945,0.0002059940,34.73,0.544500,vit,0.1,True,False,42
42,1.554249,0.510000,1.517663,0.534500,0.515825,0.0002013738,34.57,0.544500,vit,0.1,True,False,42
43,1.542914,0.518600,1.549732,0.524100,0.518231,0.0001966980,34.44,0.544500,vit,0.1,True,False,42
44,1.535041,0.521800,1.522903,0.536100,0.528356,0.0001919717,34.07,0.544500,vit,0.1,True,False,42
45,1.529010,0.533400,1.527418,0.530700,0.527301,0.0001872001,21.73,0.544500,vit,0.1,True,False,42
46,1.530328,0.529000,1.483558,0.550900,0.542601,0.0001823883,18.19,0.550900,vit,0.1,True,False,42
47,1.527460,0.532400,1.470695,0.548500,0.532008,0.0001775416,18.25,0.550900,vit,0.1,True,False,42
48,1.497077,0.544600,1.509957,0.532000,0.522286,0.0001726654,18.56,0.550900,vit,0.1,True,False,42
49,1.498076,0.551200,1.482189,0.548900,0.545157,0.0001677650,29.92,0.550900,vit,0.1,True,False,42
50,1.488922,0.542600,1.475947,0.552800,0.539579,0.0001628456,19.72,0.552800,vit,0.1,True,False,42
51,1.499467,0.538000,1.501913,0.540000,0.541958,0.0001579128,25.07,0.552800,vit,0.1,True,False,42
52,1.480930,0.549400,1.477124,0.549800,0.546134,0.0001529718,38.75,0.552800,vit,0.1,True,False,42
53,1.481283,0.548400,1.514866,0.532400,0.522662,0.0001480282,36.28,0.552800,vit,0.1,True,False,42
54,1.476096,0.561200,1.459482,0.557200,0.550319,0.0001430872,35.53,0.557200,vit,0.1,True,False,42
55,1.457230,0.561600,1.457031,0.561400,0.558017,0.0001381544,35.07,0.561400,vit,0.1,True,False,42
56,1.450195,0.566600,1.460780,0.557900,0.547096,0.0001332350,32.90,0.561400,vit,0.1,True,False,42
57,1.457169,0.556400,1.454519,0.563000,0.551422,0.0001283346,45.96,0.563000,vit,0.1,True,False,42
58,1.457470,0.565000,1.452205,0.564900,0.554220,0.0001234584,38.70,0.564900,vit,0.1,True,False,42
59,1.450133,0.561400,1.455814,0.564500,0.556190,0.0001186117,42.35,0.564900,vit,0.1,True,False,42
60,1.441239,0.571000,1.434842,0.574600,0.568233,0.0001137999,43.01,0.574600,vit,0.1,True,False,42
61,1.417259,0.577400,1.461785,0.565300,0.552151,0.0001090283,36.35,0.574600,vit,0.1,True,False,42
62,1.421711,0.578600,1.457938,0.569000,0.556430,0.0001043020,36.37,0.574600,vit,0.1,True,False,42
63,1.409969,0.586800,1.442998,0.570600,0.564568,0.0000996262,32.87,0.574600,vit,0.1,True,False,42
64,1.413946,0.583000,1.451185,0.566400,0.547815,0.0000950060,18.97,0.574600,vit,0.1,True,False,42
65,1.413366,0.584000,1.445129,0.568000,0.555522,0.0000904465,19.31,0.574600,vit,0.1,True,False,42
66,1.408875,0.581000,1.458367,0.561000,0.557459,0.0000859527,18.83,0.574600,vit,0.1,True,False,42
67,1.415762,0.586000,1.429326,0.576000,0.568787,0.0000815295,18.88,0.576000,vit,0.1,True,False,42
68,1.394832,0.588400,1.432788,0.579100,0.574905,0.0000771817,30.09,0.579100,vit,0.1,True,False,42
69,1.391650,0.592800,1.451108,0.572600,0.561622,0.0000729140,21.32,0.579100,vit,0.1,True,False,42
70,1.390787,0.595400,1.440995,0.568900,0.556058,0.0000687313,36.35,0.579100,vit,0.1,True,False,42
71,1.371696,0.600800,1.468022,0.562800,0.552763,0.0000646379,36.57,0.579100,vit,0.1,True,False,42
72,1.380706,0.593000,1.424880,0.582200,0.576308,0.0000606384,34.85,0.582200,vit,0.1,True,False,42
73,1.368848,0.612800,1.431278,0.577500,0.570729,0.0000567371,33.96,0.582200,vit,0.1,True,False,42
74,1.366226,0.602000,1.457478,0.569700,0.562150,0.0000529384,33.66,0.582200,vit,0.1,True,False,42
75,1.375654,0.600200,1.434650,0.576600,0.566001,0.0000492464,33.23,0.582200,vit,0.1,True,False,42
76,1.355030,0.610400,1.440728,0.575400,0.565011,0.0000456651,44.06,0.582200,vit,0.1,True,False,42
77,1.363037,0.602800,1.430836,0.578700,0.570079,0.0000421984,39.17,0.582200,vit,0.1,True,False,42
78,1.350755,0.614000,1.422242,0.582300,0.574029,0.0000388502,32.98,0.582300,vit,0.1,True,False,42
79,1.363157,0.603800,1.420931,0.579300,0.575669,0.0000356240,32.73,0.582300,vit,0.1,True,False,42
80,1.350793,0.618200,1.440945,0.575800,0.564329,0.0000325235,33.17,0.582300,vit,0.1,True,False,42
81,1.343666,0.613600,1.422274,0.580000,0.572769,0.0000295520,32.75,0.582300,vit,0.1,True,False,42
82,1.346666,0.619600,1.423685,0.583400,0.575248,0.0000267127,32.57,0.583400,vit,0.1,True,False,42
83,1.340689,0.615200,1.415061,0.586000,0.577961,0.0000240088,23.73,0.586000,vit,0.1,True,False,42
84,1.343497,0.612600,1.415362,0.586900,0.578847,0.0000214432,17.98,0.586900,vit,0.1,True,False,42
85,1.329958,0.627200,1.421649,0.585900,0.578144,0.0000190187,18.03,0.586900,vit,0.1,True,False,42
86,1.328993,0.616800,1.413299,0.586500,0.579273,0.0000167380,18.33,0.586900,vit,0.1,True,False,42
87,1.338636,0.623400,1.417393,0.585800,0.578131,0.0000146035,34.02,0.586900,vit,0.1,True,False,42
88,1.322452,0.624200,1.420110,0.587000,0.579462,0.0000126177,24.79,0.587000,vit,0.1,True,False,42
89,1.330289,0.626200,1.417950,0.588500,0.580025,0.0000107826,21.17,0.588500,vit,0.1,True,False,42
90,1.327185,0.624400,1.418496,0.585700,0.580214,0.0000091003,39.37,0.588500,vit,0.1,True,False,42
91,1.330277,0.622600,1.417752,0.586500,0.578396,0.0000075727,37.02,0.588500,vit,0.1,True,False,42
92,1.328683,0.622800,1.417141,0.586800,0.579054,0.0000062013,36.34,0.588500,vit,0.1,True,False,42
93,1.314846,0.633600,1.414367,0.586800,0.579245,0.0000049877,35.85,0.588500,vit,0.1,True,False,42
94,1.331240,0.624000,1.413369,0.587300,0.580070,0.0000039332,34.37,0.588500,vit,0.1,True,False,42
95,1.321879,0.629800,1.416004,0.586500,0.579141,0.0000030390,34.32,0.588500,vit,0.1,True,False,42
96,1.323711,0.625200,1.416900,0.586000,0.579081,0.0000023060,33.15,0.588500,vit,0.1,True,False,42
97,1.324973,0.628000,1.416697,0.586100,0.578737,0.0000017351,34.31,0.588500,vit,0.1,True,False,42
98,1.321951,0.628600,1.414222,0.587000,0.579712,0.0000013269,34.35,0.588500,vit,0.1,True,False,42
99,1.322407,0.626400,1.414245,0.587500,0.580053,0.0000010817,35.33,0.588500,vit,0.1,True,False,42
100,1.328660,0.627200,1.414464,0.586900,0.579591,0.0000010000,44.11,0.588500,vit,0.1,True,False,42
