epoch,train_loss,accuracy,macro_f1,lr
1,1.720259,0.463300,0.447557,0.00016667
2,1.404202,0.542200,0.540059,0.00033333
3,1.300612,0.540200,0.535364,0.00050000
4,1.198987,0.572500,0.578027,0.00050000
5,1.115811,0.629500,0.627504,0.00049910
6,1.045538,0.629900,0.623913,0.00049640
7,0.987814,0.636500,0.631163,0.00049193
8,0.942363,0.659600,0.652269,0.00048572
9,0.892684,0.686200,0.681339,0.00047781
10,0.858990,0.703900,0.703833,0.00046825
11,0.821165,0.712200,0.710052,0.00045713
12,0.787147,0.714400,0.711316,0.00044451
13,0.748395,0.718300,0.717761,0.00043049
14,0.721061,0.729500,0.725980,0.00041517
15,0.683153,0.730500,0.728957,0.00039866
16,0.656571,0.746500,0.743874,0.00038108
17,0.620479,0.758200,0.755361,0.00036255
18,0.593975,0.755600,0.754443,0.00034321
19,0.566142,0.764800,0.764432,0.00032321
20,0.537638,0.766300,0.765639,0.00030267
21,0.509154,0.774500,0.774597,0.00028175
22,0.478472,0.771200,0.768401,0.00026061
23,0.446619,0.782800,0.780295,0.00023939
24,0.420748,0.781000,0.779351,0.00021825
25,0.395545,0.790200,0.788488,0.00019733
26,0.365740,0.788500,0.789592,0.00017679
27,0.339992,0.794800,0.794327,0.00015679
28,0.319888,0.792500,0.791913,0.00013745
29,0.290496,0.804100,0.802884,0.00011892
30,0.272669,0.801000,0.799280,0.00010134
31,0.246741,0.804800,0.804538,0.00008483
32,0.230004,0.805300,0.804100,0.00006951
33,0.217328,0.807200,0.806753,0.00005549
34,0.199904,0.807700,0.806396,0.00004287
35,0.188951,0.808100,0.807972,0.00003175
36,0.176071,0.807500,0.807041,0.00002219
37,0.169930,0.808600,0.807996,0.00001428
38,0.165804,0.805700,0.804795,0.00000807
39,0.160090,0.806500,0.805755,0.00000360
40,0.158096,0.807100,0.806252,0.00000090
